"session_id","name","exotel_call_sid"
"4f67d609-f8b8-41b6-adf0-35611405a13c","Vishnu Vardhan","c5ca845ec4ddd1280871cee14c831957"
"2e335b2f-4b83-4213-9316-57ffa7b58349","Vishnu Vardhan","b6558397f91a058cc7d3191872df1957"
"5acd7f0c-83ed-444a-836b-fa7b68ea078e","Vishnu Vardhan","1d9b675d33336dd4ad71198714b11957"
"7f2b81ab-4592-4844-9fd4-3056bd5bc19e","Vishnu Vardhan",NULL
"affd92b8-d1eb-40d1-ab5d-6f74532841a4","Vishnu Vardhan","575a0000f8e5ff7f8ae406d0dcd71957"
"580b4990-34b1-46c4-94c5-24a0b84ec58f","Vishnu Vardhan","9204a4f3d7ecd59ffd3f9e46a1dd1957"
"aba892ee-4417-43d4-aa55-a987119faf2f","Vishnu Vardhan",NULL
"95ee3034-2d53-4fbb-bca7-ea2dbb90fee2","Akhilesh","2b325d38d0a4753db49b3416c6ff1957"
"6068852d-24e2-4d98-be27-4cb93b5d605a","Vishnu Vardhan",NULL
"2a4dc6da-11b7-410e-92a9-857a8aca8bfa","Vishnu Vardhan","42bd97575fa77d159303f8475b111957"
"14126b9a-654a-4daf-af20-11693a340e52","Vishnu Vardhan","d7cb7481bd1d5945d3318bfaf5eb1957"
"41174e55-c4dd-43db-8459-55f81133bfa4","Vishnu Vardhan","fea4817b15553d7cea714647141b1957"
"239b7b2c-3652-4fda-b1d8-2000939a2ccf","Vishnu Vardhan","3e2e7a484e199f37cf3e4dc46bf01957"
"d86f2281-89ae-4a0a-b755-5837f6123a1e","Vishnu Vardhan",NULL
"19489466-854e-43d5-8b2a-72d963fbcbdb","Vishnu Vardhan","c460261b3feada8c21100f5efca11957"
"39acdb39-3974-4369-b7af-1e2f649f77e1","Akhilesh",NULL
"908a6d15-f1ad-4d85-bd5e-70f0f9aed8cb","Ayush ","24754fc332e469aec51ff9aba0291956"
"81935021-487d-4ccd-8204-1fec8ba7544e","Ayush ","f2ea3b9378a404d9000f9d5ff3fc1956"
"f1208f5a-d92f-4cc5-a4a7-be12582647f4","Vishnu Vardhan","5d8d720f9a616ffd633fc5254ba41956"
"cb84a2cf-21eb-4bc1-bc30-69ae242f3fab","Ayush ","82ad7745c3463d5e6e13095e8d951956"
"2d05694b-73cd-4849-afa2-71962911f119","Vishnu Vardhan","3729b917e78c3ff78e89034584461956"
"ddd735d6-f74c-4081-be81-3f8cddcc584f","Ayush ","db56b6bee284d74c6b5d20222bd41956"
"9fbbf0e1-b91f-4b74-bbaf-d90ed4984c96","Ayush ","68dda756623203225b0918e7aa361956"
"7f5bdc16-c941-4f0e-8af0-6d549d6d47a5","Akhilesh","6c2c4b336ca5e1f198ad5e9bca251956"
"379fd704-8fee-44fa-8a8c-e2f29bdb87f8","Akhilesh","3098a0d68ba60d5fa292d592ed8f1956"
"0cae5285-f720-412e-aa88-4fd0140f074c","Akhilesh","15256cb10a94a0a652eaddb3bda71956"
"35b2ee05-dc65-40a5-af48-525b3d212369","Ayush ","ce0b089405333927592f50321de81956"
"083fe542-b80f-455c-8c8b-0b4ba35d7b49","Vishnu Vardhan","f9edf735fd1245cab49fcc8bd5b21956"
"288c699d-659a-423f-bb7c-fb2ca916ab2c","Adit Lal","bee548a305a9d1214a61ab5c03fe1956"
"32fad765-00c2-4abe-bb60-e397e99c8265","Ayush ","992fd18225b12590025b6e07bf561956"
"1c1f8cf3-bd58-4ccb-8272-aba28ed443c2","Ayush ",NULL
"eb227884-c7a2-4ec7-b501-c2743a18c872","Ayush ","6fa1fa57e6eac91a5458c2b09b351956"
"87568fae-7c11-455e-ad33-48a2fb32b7e8","Ayush ","f1137e81f6def2281a7d6917381c1956"
"12f90a44-d6fd-4650-b05d-220ada6465fd","Akhilesh","d6be56749772acc0b9e59d4aaa441956"
"18a1c58e-1ccb-44dc-b819-0c3e33642bb4","Akhilesh","67c4cbd85e4cd1dd01c01b2d86b01956"
"3f75ec05-f883-47fe-9145-f25d17f55c5f","Akhilesh","e446d6adaa0947f76b99d002a07b1956"
"b2bb68cb-5aea-47c5-a94e-64e5780ea6dc","Akhilesh","cd31ba49bb5d7ee8671fa3a542851956"
"d3b35f90-8ce0-4112-8d1e-57abbb9fc4dc","Ayush ","5fb2e9af8dcfe36fa0899c42b40a1956"
"cf91eb11-3c80-41dc-be8b-568c63a0ec87","Ayush ","ca7a05dec49620ebbc285d69e6a01956"
"580b382f-4bb0-461c-8518-146fed707a3a","Akhilesh","d5a9567aed19c8cf6bbb74eaf55d1956"
"93029f26-38aa-46af-854d-5498334ae421","Vishnu Vardhan","904bfb2fa2a173705aa42e64cfa41956"
"532514d8-1981-4a5f-91ff-2833d5483a2b","Vishnu Vardhan",NULL
"39231050-d4ae-4f05-97d8-4456525127cb","Ayush ",NULL
"b685e8f2-7d2c-4807-bb02-4ddcc0d3dfda","Adit Lal","57ecb1c3c86dc2cbdc9e831e58571956"
"5cec9954-f292-41a8-904c-a59b9f3ba9fa","Adit Lal",NULL
"2467c790-9ef3-437f-ab4d-f9dc33d954b4","Adit Lal",NULL
"9e545cb5-64bb-475e-bd91-5ec8baa66e03","Vishnu Vardhan","c0ec7475f6d6fe8d71af343175821956"
"65bd5b95-773b-4fe9-80f3-6436bf5ce6a4","Vishnu Vardhan","3d5bb90a2cf84dd6908f6c1bdaaf1956"
"87ad7f6b-3934-46c1-ba84-147147763ff5","Vishnu Vardhan","6c9252ae49b65c92ea00553650151956"
"9b406dc7-14b6-4e1c-a37f-53ccdcbe27f9","Adit Lal",NULL
"44e2ee62-5b62-412e-98a1-f768e88bba4f","Adit Lal",NULL
"5e659942-b2b6-4010-82a5-17dce727a5f9","Adit Lal",NULL
"edf8936a-f1f4-4f40-b1fe-9038fcf9b8b2","Adit Lal",NULL
"24513ceb-8ae6-4651-b9c3-3205a72ff73d","Adit Lal",NULL
"20d03586-6d03-48ba-9d79-5bdf908a4e07","Akhilesh","ee067a2db513ef1537b4bd6949f91955"
"c3cb2f54-706e-4393-beeb-f8276fba4c4a","Akhilesh","ee2c6227c76a01d2843d74bac8ee1955"
"b06e187f-ee7f-417b-9210-de44c8a6016c","Akhilesh",NULL
"4ec8367d-810f-4205-bd12-dae4c2e6bbdb","Akhilesh","db405f6f18b052ab71b8fd271fdf1955"
"92628c7d-b7fd-4f2d-881a-e44018b659be","Akhilesh","04876c80b3ef73b7280bbef5d7271955"
"769270c7-1541-4421-82c4-28c15a951260","Akhilesh","bc54f30f0241c02c80de3eea34901955"
"1f5d1c8d-404d-47c2-b79d-5c408a864493","Ayush ",NULL
"892538e4-f8a8-44d0-bcac-5d2f65221557","Akhilesh","718f25f0a29cdf37f12ad432bd651955"
"9190c7d4-1503-4975-bdbf-56cded976088","Akhilesh","e7d0ab540cff90400a7dc2b4e1fc1955"
"c119a872-7e0f-4885-9478-2cef58c696b1","Akhilesh","28a5861c239957073c62a01e9c031955"
"127c7a2f-a597-44d0-9c33-908da74a88df","Akhilesh","9d29992117b91fb90cf7fa592a0b1955"
"8322a648-0845-4200-95a3-afdc4c4d0cf8","Akhilesh","f83ed30449f0c775656e51bc74d11955"
"b156a629-2103-4e27-905f-01602bf760a5","Akhilesh","370b9d1c9bde8a7b042e2023ee9d1955"
"5b48e4cc-0ac0-4ffd-a377-926f6d397529","Akhilesh","5fbcc817b7a1b2eaedbdd97970721955"
"a88681db-3ba5-462c-b4e4-f19da4b4f8d4","Vishnu Vardhan","69bb011af86e63da8fd6454d881f1955"
"73ad324a-14d5-4515-8f3e-5a0bb479a574","Akhilesh","11c56aa3da65d7511cd5406c3a6d1955"
"8c944de4-0514-407d-8841-253e6f0786df","Akhilesh","2e10451d9c7d22950c8f4bba37ca1955"
"bc5b1b35-7571-4b5c-86ed-5c6537b92c63","Akhilesh","e33bfb0e213666843dd1c24b74fb1955"
